run,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,trainsize
1,1.35259425640106,0.533057851239669,0.245995423340961,0.336638830897703,0.650747835213855,9.917,67.359,4.235,3,0.8
1,1.00690627098084,0.634935304990758,0.524027459954233,0.574174676138738,0.827691769439342,10.0748,66.304,4.169,3,1.5
1,0.590836107730866,0.821639586410635,0.848588863463005,0.834896810506567,0.942359835563719,9.8666,67.703,4.257,3,3.1
1,0.310494780540466,0.899925317401046,0.919145690312738,0.909433962264151,0.965450887780985,9.8772,67.631,4.252,3,6.2
1,0.204283028841019,0.920847268673355,0.945080091533181,0.932806324110672,0.975771888393247,9.8952,67.508,4.244,3,12.5
1,0.117600962519646,0.944027047332832,0.958428680396644,0.951173353520061,0.982244380302633,9.9247,67.307,4.232,3,25
1,0.071492865681648,0.966565349544073,0.97025171624714,0.968405024743053,0.98609288900551,9.8942,67.515,4.245,3,50
1,0.045645855367184,0.969558599695586,0.971777269260107,0.970666666666667,0.988804338318901,9.8983,67.486,4.243,3,100
2,1.32092976570129,0.446031746031746,0.107170099160946,0.172816728167282,0.592932738563807,9.8365,67.911,4.27,3,0.8
2,1.00690627098084,0.634935304990758,0.524027459954233,0.574174676138738,0.827691769439342,9.8644,67.719,4.258,3,1.5
2,0.590836107730866,0.821639586410635,0.848588863463005,0.834896810506567,0.942359835563719,9.8688,67.688,4.256,3,3.1
2,0.310494780540466,0.899925317401046,0.919145690312738,0.909433962264151,0.965450887780985,9.9322,67.256,4.229,3,6.2
2,0.204283028841019,0.920847268673355,0.945080091533181,0.932806324110672,0.975771888393247,9.8829,67.591,4.25,3,12.5
2,0.117600962519646,0.944027047332832,0.958428680396644,0.951173353520061,0.982244380302633,9.8913,67.534,4.246,3,25
2,0.071492865681648,0.966565349544073,0.97025171624714,0.968405024743053,0.98609288900551,9.8606,67.744,4.259,3,50
2,0.045645855367184,0.969558599695586,0.971777269260107,0.970666666666667,0.988804338318901,9.8839,67.585,4.249,3,100
3,1.32092976570129,0.446031746031746,0.107170099160946,0.172816728167282,0.592932738563807,9.8359,67.915,4.27,3,0.8
3,1.00690627098084,0.634935304990758,0.524027459954233,0.574174676138738,0.827691769439342,9.8628,67.729,4.258,3,1.5
3,0.590836107730866,0.821639586410635,0.848588863463005,0.834896810506567,0.942359835563719,9.852,67.803,4.263,3,3.1
3,0.310494780540466,0.899925317401046,0.919145690312738,0.909433962264151,0.965450887780985,9.9048,67.442,4.24,3,6.2
3,0.204283028841019,0.920847268673355,0.945080091533181,0.932806324110672,0.975771888393247,9.9391,67.209,4.226,3,12.5
3,0.117600962519646,0.944027047332832,0.958428680396644,0.951173353520061,0.982244380302633,9.8898,67.544,4.247,3,25
3,0.071492865681648,0.966565349544073,0.97025171624714,0.968405024743053,0.98609288900551,9.9143,67.377,4.236,3,50
3,0.045645855367184,0.969558599695586,0.971777269260107,0.970666666666667,0.988804338318901,9.9531,67.115,4.22,3,100
4,1.32092976570129,0.446031746031746,0.107170099160946,0.172816728167282,0.592932738563807,9.9178,67.354,4.235,3,0.8
4,1.00690627098084,0.634935304990758,0.524027459954233,0.574174676138738,0.827691769439342,9.8321,67.941,4.272,3,1.5
4,0.590836107730866,0.821639586410635,0.848588863463005,0.834896810506567,0.942359835563719,9.8989,67.482,4.243,3,3.1
4,0.310494780540466,0.899925317401046,0.919145690312738,0.909433962264151,0.965450887780985,9.9567,67.09,4.218,3,6.2
4,0.204283028841019,0.920847268673355,0.945080091533181,0.932806324110672,0.975771888393247,9.9343,67.241,4.228,3,12.5
4,0.117600962519646,0.944027047332832,0.958428680396644,0.951173353520061,0.982244380302633,9.9065,67.431,4.24,3,25
4,0.071492865681648,0.966565349544073,0.97025171624714,0.968405024743053,0.98609288900551,9.9362,67.229,4.227,3,50
4,0.045645855367184,0.969558599695586,0.971777269260107,0.970666666666667,0.988804338318901,10.1197,66.01,4.15,3,100
5,1.32092976570129,0.446031746031746,0.107170099160946,0.172816728167282,0.592932738563807,9.9091,67.413,4.239,3,0.8
5,1.00690627098084,0.634935304990758,0.524027459954233,0.574174676138738,0.827691769439342,9.8396,67.889,4.268,3,1.5
5,0.590836107730866,0.821639586410635,0.848588863463005,0.834896810506567,0.942359835563719,9.9584,67.079,4.218,3,3.1
5,0.310494780540466,0.899925317401046,0.919145690312738,0.909433962264151,0.965450887780985,9.9357,67.232,4.227,3,6.2
5,0.204283028841019,0.920847268673355,0.945080091533181,0.932806324110672,0.975771888393247,9.9401,67.202,4.225,3,12.5
5,0.117600962519646,0.944027047332832,0.958428680396644,0.951173353520061,0.982244380302633,9.9265,67.294,4.231,3,25
5,0.071492865681648,0.966565349544073,0.97025171624714,0.968405024743053,0.98609288900551,9.9389,67.211,4.226,3,50
5,0.045645855367184,0.969558599695586,0.971777269260107,0.970666666666667,0.988804338318901,9.9485,67.146,4.222,3,100
